order,url,name_cn,date,score,total_votes,cover_large,tags,characters
192,https://bgm.tv/subject/2463,无头骑士异闻录,2010-01-07,7.9,14072,https://lain.bgm.tv/pic/cover/l/18/43/2463_FGJkn.jpg,成田良悟;无头骑士异闻录;デュラララ!!;2010年1月;DRRR!!;TV;池袋;神谷浩史;电击文库;2010;轻小说改;节奏紧凑;DOLLARS;好人设;奇幻;BrainsBase;群像;福山润;小说改;轻改;剧情;日本;大森贵弘;Brain;大森貴弘;神画面;战斗;群像剧;悬疑;宫野真守,塞尔提·史特路尔森;龙峰帝人;纪田正臣;园原杏里;折原临也;平和岛静雄;岸谷新罗;DOLLARS;门田京平;游马崎沃克;狩泽绘理华;渡草三郎
193,https://bgm.tv/subject/249637,天使降临到了我身边！,2019-01-08,7.3,11821,https://lain.bgm.tv/pic/cover/l/f3/2d/249637_2r3gw.jpg,百合;动画工房;萝莉;日常;2019年1月;萌豚;漫画改;TV;萌;搞笑;2019;治愈;漫改;動画工房;日本;轻百合;平牧大輔;平牧大辅;LOLI;萌系;轻百;一迅社;2019年;废萌;山田由香;天使降临到了我身边;上田丽奈;校园;鬼头明里;芳文社,星野宫子;白咲花;星野日向;姬坂乃爱;种村小依;小之森夏音;松本香子;星野千鹤;白咲春香;姫坂爱蜜莉;松本友奈;宫子
194,https://bgm.tv/subject/375817,契约之吻,2022-07-02,6.9,13569,https://lain.bgm.tv/pic/cover/l/25/cd/375817_O7LGk.jpg,原创;A-1Pictures;恋爱;2022年7月;战斗;丸戸史明;奇幻;TV;丸户史明;病娇;2022;后宫;田中智也;日本;党争;丸户老贼是块宝冈妈看了都说好;搞笑;扭曲;无法预测的命运之舞台;恋爱喜剧;2022年;契约之吻;喜剧;修罗场;胃疼;重女;日常;A-1_Pictures;日本动画;季番,绪方修;木更;夕桐绫乃;莎朗·荷莉格蕾尔;夕桐秋乃;迈尔斯·摩根;三上哲也;蜂须贺莎花;蜂须贺凛花;蜂须贺米哈伊尔;芦屋正明;绪方勇
195,https://bgm.tv/subject/424663,梦想成为魔法少女,2024-01-03,7,12952,https://lain.bgm.tv/pic/cover/l/96/d1/424663_mM5GN.jpg,百合;卖肉;魔法少女;2024年1月;搞笑;漫画改;TV;旭production;战斗;2024;肉番;漫改;奇幻;日本;大槻敦史;铃木理人;SM;肉;日常;福利;里番;鈴木理人;逆天;校园;2024年;旭プロダクション;梦想成为魔法少女;木村暢;大规敦史;憧憬成为魔法少女,柊宇天那/恶之女干部;阿良河基维/豹式装甲;杜乃可莉丝/尼禄爱丽丝;花菱遥香/魔法品红;水神小夜/魔法碧蓝;天川薰子/魔法硫磺;阿古屋真珠/洛可慕斯卡;姐母娞摩/莱贝尔布鲁姆;君王艾露诺;修女奇苷特;维纳里达;瓦兹
196,https://bgm.tv/subject/204027,齐木楠雄的灾难 第二季,2018-01-16,7.7,11245,https://lain.bgm.tv/pic/cover/l/37/08/204027_irnYl.jpg,搞笑;J.C.STAFF;校园;日常;漫画改;2018年1月;超能力;TV;齐木楠雄的灾难;2018;漫改;神谷浩史;续作;日本;桜井弘明;奇幻;2018年;吐槽;喜剧;樱井弘明;JUMP;恋爱;茅野爱衣;EGGFIRM;科幻;小野大辅;动画;半年番;麻生周一;第二季,齐木楠雄;照桥心美;燃堂力;海藤瞬;洼谷须亚莲;灰吕杵志;梦原知予;相卜命;鸟束零太;目良千里;齐木久留美;齐木国春
197,https://bgm.tv/subject/298477,来自深渊 烈日的黄金乡,2022-07-06,8.3,13361,https://lain.bgm.tv/pic/cover/l/ae/18/298477_eBaQ8.jpg,奇幻;漫画改;冒险;来自深渊;2022年7月;猎奇;致郁;TV;KINEMACITRUS;2022;漫改;治愈;小岛正幸;续作;日本;战斗;青年向;神作;KINEMA_CITRUS;催泪;小島正幸;2022年;异世界;仓田英之;土笔章人;倉田英之;剧情;KINEMA.CITRUS;待上映;KevinPenkin,莉可;雷格;娜娜奇;法普妲;布耶可;瓦兹康;贝拉弗;咿噜缪咿;梅尼亚;玛吉卡加;嘛啊啊;姆基
198,https://bgm.tv/subject/211027,OVERLORD 第二季,2018-01-09,6.6,10928,https://lain.bgm.tv/pic/cover/l/0f/01/211027_669oE.jpg,骨傲天;2018年1月;MADHouse;轻小说改;穿越;异世界;TV;装逼;奇幻;OVERLORD;轻改;网游;2018;续作;战斗;龙傲天;小说改;第二季;日本;伊藤尚往;人外;搞笑;后宫;2018年;日本动画;热血;厕纸;冒险;动画;季番,安兹·乌尔·恭;娜贝拉尔·伽玛;艾多玛·巴西丽莎·泽塔;番外席次;队长;威克提姆;エドストレーム;艾库莱尔・艾库莱路・艾库莱阿;雅儿贝德;夏提雅·布拉德弗伦;亚乌菈·贝拉·菲欧拉;马雷·贝罗·菲欧雷
199,https://bgm.tv/subject/312,哈尔的移动城堡,2004-11-20,7.8,11962,https://lain.bgm.tv/pic/cover/l/95/0a/312_LmAan.jpg,宫崎骏;吉卜力;剧场版;奇幻;久石让;哈尔的移动城堡;2004;魔法;原创;少女系;恋爱;宮崎駿;ハウルの動く城;动画电影;日本;环保系;小说改;GHIBLI;治愈;哈尔;电影;2004年;童年;2004年11月;动画;スタジオジブリ;映画;经典;久石譲;少女,苏菲·哈特尔;哈尔;荒野的女巫;卡尔西法;马鲁克;小姓;かかしのカブ;国王;宾;莎莉曼
200,https://bgm.tv/subject/231497,路人女主的养成方法 Fine,2019-10-26,7.7,11460,https://lain.bgm.tv/pic/cover/l/8b/4c/231497_tZxtU.jpg,剧场版;恋爱;路人女主的养成方法;A-1Pictures;丸户史明;轻小说改;2019;后宫;CloverWorks;校园;轻改;小说改;深崎暮人;日本;2019年10月;党争;青春;柴田彰久;日常;搞笑;2019年;丸戸史明;续作;TV;纯爱;松冈祯丞;加藤惠;龟井干太;亀井幹太;伪后宫,安艺伦也;加藤惠;泽村・史宾瑟・英梨梨;霞之丘诗羽;冰堂美智留;波岛出海;波岛伊织;红坂朱音;町田苑子;水原叡智佳;姬川时乃;森丘蓝子
201,https://bgm.tv/subject/288,寒蝉鸣泣之时 解,2007-07-05,8.1,12777,https://lain.bgm.tv/pic/cover/l/48/ae/288_HvHm5.jpg,悬疑;龙骑士07;寒蝉鸣泣之时解;惊悚;TV;2007年7月;游戏改;寒蝉鸣泣之时;2007;ひぐらしのなく頃に解;噩梦的结束;studiodeen;治愈;寒蝉;GAL改;轮回;社会问题;今千秋;解;日本;猎奇;推理;神作;伦理学;致郁;中原麻衣;奇幻;续作;STUDIO_DEEN;2007年,古手梨花;羽入;前原圭一;龙宫礼奈;园崎魅音;北条沙都子;园崎诗音;鹰野三四;龙宫保典;龙宫礼子;大石藏人;富竹次郎
