rank,source_page,source_page_start,subject_id,subject_url,title,cover_url,abstract,abstract_2,rating,rating_count,star_count,labels,is_tv,tpl_name,search_url,parse_source
32,1,0,3032552,https://movie.douban.com/subject/3032552/,魔幻手机 (2008),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2352324050.webp,中国大陆 / 喜剧 / 奇幻,余明生 / 李滨 / 陈创 / 舒畅 / 谢宁 / 洪乙心 / 陈明昊,8.6,105422,4.5,"['剧集', '可播放']",True,search_subject,https://www.douban.com/search?cat=1002&q=%E9%AD%94%E5%B9%BB%E6%89%8B%E6%9C%BA,playwright
33,5,60,1883755,https://movie.douban.com/subject/1883755/,聪明的一休 一休さん‎ (1975),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550674130.webp,日本 / 儿童 / 动画 / 一休和尚 / 聪明的一休 / 25分钟,矢吹公郎 / 寒竹清隆 / 白土武 / 古泽日出夫 / 今泽哲男 / 新田义方 / 藤田淑子 / 桂玲子 / 宫内幸平 / 增山江威子 / 野田圭一 / 山田俊司 / 吉田理保子,8.8,104838,4.5,"['剧集', '可播放']",True,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=60,window.__DATA__
34,2,15,1782006,https://movie.douban.com/subject/1782006/,七龙珠 ドラゴンボール‎ (1986),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2190442032.webp,日本 / 喜剧 / 动画 / 奇幻 / 冒险 / 龙珠 / Dragonball / 25分钟,西尾大介 / 野泽雅子 / 八奈见乘儿 / 鹤弘美,9.4,104425,4.5,"['剧集', '可播放']",True,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=15,window.__DATA__
35,2,15,1428577,https://movie.douban.com/subject/1428577/,九色鹿‎ (1981),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2331868079.webp,中国大陆 / 剧情 / 动画 / 短片 / 奇幻 / The Nine-Colored Deer / 鹿王本生 / 25分钟,钱家骏 / 戴铁郎 / 丁建华 / 杨成纯 / 程晓桦 / 于鼎,9,104385,4.5,['可播放'],False,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=15,window.__DATA__
36,4,45,2993424,https://movie.douban.com/subject/2993424/,中华小当家 中華一番!‎ (1997),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2225808630.webp,日本 / 动画 / 中华一番之满汉传奇(台) / 23分钟,案纳正美 / 杉岛邦久 / 香川丰 / 高木淳 / 高村彰 / 渊上真 / 羽生尚靖 / 西田健一 / 铃木轮流郎 / 腰繁男 / 田中真弓 / 雪野五月 / 大塚明夫 / 置鲇龙太郎 / 吉田理保子 / 引田有美 / 阪口大助 / 神奈延年,8.7,101643,4.5,"['剧集', '可播放']",True,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=45,window.__DATA__
37,3,30,30482645,https://movie.douban.com/subject/30482645/,数码宝贝：最后的进化 デジモンアドベンチャー LAST EVOLUTION 絆‎ (2020),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2623955494.webp,日本 / 动画 / 冒险 / 数码宝贝大冒险 最后的进化·羁绊 / 数码宝贝大冒险剧场版 / 94分钟,田口智久 / 花江夏树 / 细谷佳正 / 三森铃子 / 田村睦心 / 吉田仁美 / 池田纯矢 / 榎木淳弥 / 市道真央,7.3,95535,3.5,['可播放'],False,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=30,window.__DATA__
38,5,60,1870436,https://movie.douban.com/subject/1870436/,舒克和贝塔‎ (1989),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2627283939.webp,中国大陆 / 动画 / 儿童 / 舒克与贝塔 / Shuke and Beita / 20分钟,严定宪 / 林文肖 / 胡依红 / 王加世 / 阎善春 / 姚光华 / 沈寿林 / 薛梅君 / 彭戈 / 范捷 / 翟巍 / 范蕾颕 / 余大金 / 洪海天 / 迟琳文 / 范益松,8.8,94079,4.5,"['剧集', '可播放']",True,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=60,window.__DATA__
39,2,15,25955779,https://movie.douban.com/subject/25955779/,忍者神龟2：破影而出 Teenage Mutant Ninja Turtles: Out of the Shadows‎ (2016),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357111716.webp,美国 / 中国香港 / 中国大陆 / 加拿大 / 丹麦 / 德国 / 英国 / 喜剧 / 动作 / 科幻 / 冒险 / 忍者龟：魅影突击(港) / 忍者龟：破影而出(台) / 113分钟,戴夫·格林 / 梅根·福克斯 / 斯蒂芬·阿梅尔 / 威尔·阿奈特 / 皮特·普劳泽克 / 阿兰·里奇森 / 杰瑞米·霍华德 / 诺尔·费舍 / 布莱恩·泰,6.6,92589,3.5,['可播放'],False,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=15,window.__DATA__
40,2,15,1307547,https://movie.douban.com/subject/1307547/,星际宝贝 Lilo & Stitch‎ (2002),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2510798502.webp,美国 / 喜剧 / 科幻 / 动画 / 冒险 / 家庭 / 扮野小魔星(港) / 莉萝与史迪奇 / 85分钟,克里斯·桑德斯 / 迪恩·戴布洛伊 / 黛维·切斯 / 蒂亚·卡雷尔 / 戴维·奥格登·施蒂尔斯 / 凯文·麦克唐纳德 / 文·瑞姆斯 / 佐伊·考德威尔 / 李截,8.6,90515,4.5,['可播放'],False,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=15,window.__DATA__
41,2,15,1299513,https://movie.douban.com/subject/1299513/,阿拉丁 Aladdin‎ (1992),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1833285442.webp,美国 / 喜剧 / 动画 / 冒险 / 阿拉丁历险记 / 90分钟,罗恩·克莱蒙兹 / 约翰·马斯克 / 斯科特·维内尔 / 罗宾·威廉姆斯 / 琳达·拉金 / 乔纳森·弗里曼 / 弗兰克·维尔克 / 吉尔伯特·戈特弗雷德 / 查尔斯·阿德勒 / 杰克·安杰尔,8.3,89537,4,['可播放'],False,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=15,window.__DATA__
